,content
0,"trà táo socola nước bình_thường , nhưng giá hơi chát ạ không_gian quán giống nhiều quán khác bình_thường , chỉ có người phục_vụ . đợi nước hơi bị lâu í nói_chung là delio nơi khác thì không biết thế_nào nhưng thì nhạt quá "
1,"hôm rồi trung_tâm tổ_chức noel party mua được voucher / suất buffet lẩu ạ . nhà_hàng nằm đầu đường rất to , nhìn có_vẻ chuyên hội_nghị tiệc cưới hơn . bởi_vậy nên buffet là kêu nhân_viên đem ra chứ không lấy . nước lẩu khá nhạt , không có đặc_sắc , phải xin thêm sa tế bỏ vào mới có tí vị . đồ nhúng lẩu gồm có thịt bò , cá viên , tôm , chả cá ... mang_tiếng buffet nhưng tôm không được gọi thêm ạ : ) ) ) chỉ được đúng con mang ra đĩa đầu_tiên . gầu bò ăn khô chán lắm nên chỉ gọi bò , nhưng khi gọi thêm lần sau thì nhân_viên đem ra cực_kì lâu , nói_chung là không nhiệt_tình , còn nhăn_nhó khó_chịu nữa . hôm chị_em ăn đã không ngon rồi còn không no : ) ) nhưng cty tổ_chức nên đi ăn chứ không có sự lựa_chọn"
2,"thịt gà quán là nhất . đi ăn gọi liền chân gà , cánh_gà chiên , chim quay đĩa phở xào mềm ăn no căng luôn , thanh_toán hoá_đơn hết tròn , thực_sự giá quá rẻ mà ngon nữa . bạn đi ăn xong cứ khen mãi , hẹn hôm lên công_tác lại qua quán ăn tiếp bữa nữa . thích nhất là hôm trời oi mà phòng lạnh ngồi ăn rất dễ_chịu , thái_độ nhân_viên cũng nhẹ_nhàng , phục_vụ nhanh_nhẹn . tuy_nhiên điểm không vừa_ý là bàn nhỏ , khoảng_cách giữa bàn hơi sát nên ngồi cảm_giác rất chật chân hơi dài , ngồi hơi tốn chiều ngang xíu . nói_chung là ngoại_trừ điểm ra thì thứ đều ổn , hẹn sẽ quay lại quán ngày không xa ."
3,ăn xong đau bụng ngày gà ok nhưng nước ko ngon
4,"vừa thử trưa . điểm cộng đầu_tiên là bát bún đầy_đặn , rất nhiều cá rán , chả cá , chả tôm . bề_bề cũng to chắc thịt hơn quán khác . giá_cả rất hợp_lý . / bát bún hải_sản . tuy_nhiên nước dùng chưa đậm_đà lắm . nhưng có_thể coi là tạm ổn , gần cơ_quan . sẽ quay lại"
5,"trước đi qua khu thì thấy quán nên vào thử xem . quán mới mở khuôn_viên căng-tin , nên dễ tìm lắm , thấy ngon nhất_là món bún cá ( như ảnh ) ăn như bún trộn ăn thích lắm luôn , bún to , nước sốt cũng ngon nữa , cá ăn giòn giòn nữa . quán sạch_sẽ , phục_vụ nhiệt_tình , còn điều_hoà nữa , nên khỏi lo bị nóng suất hình có giá tầm , giá hợp_lí giá bữa trưa / sáng phải không :"
6,"đi ăn thịt nướng ông bạn ngày mưa_gió nhà_hàng . dẻ sườn bò mỹ mềm thơm_nức . nhân_viên phục_vụ chu_đáo nhiệt_tình , đông khách mà vẫn phục_vụ nướng bàn . xứng_đáng *  người khu_vực , nên qua thử , quán cũng dễ tìm lắm "
7,"hú hú ưng quá là ưng ✌ nghe danh đã lâu giờ mới có dịp thử ) ) đúng là bánh_vẽ chân_dung k qua nổi , nét vẽ max đẹp ❤ bánh gồm lớp bánh lớp kem khá dày_dặn , cốt bình_thường quán là cốt vani kem socola , thì k thích vani nên đặt cốt cacao ít ngọt kem socola dễ ăn , thêm có mà chất_lượng dã_man ý  nhân_viên full nữ , bạn cũng nhiệt_tình thân_thiện nói_chung là chym ưng  "
8,"nói_chung là ngon nhưng bạn đi ăn lần đầu thì chú_ý tí : v - quán chỉ mở chiều . lần đầu_tiên đi trưa ra đến_nơi chả thấy có luôn  - bánh bột lọc 5k , nộm bát , giá khá rẻ - hàng_quán sạch_sẽ - trải_nghiệm nhớ_đời : lần thứ ra ăn thử lúc 5h thì cũng may là ông vẫn đang bán . con_em đi cùng lớ_ngớ lại gọi bánh bột lọc chứ k gọi nộm . đứa biết nhầm nên quyết_định gọi bát bột lọc , khi ông hỏi bát còn giơ ngón tay lên đề_phòng ông k nghe thấy mà ông vẫn cứ làm bát : ( ( trót rồi nên k gọi nộm nữa còn dành bụng đi ăn bánh_tráng gần  ờ , xong chị_em vật_vã ăn hết bát bánh bột lọc , nghĩ_bụng chắc bát : v cũng okie , ngon hơn hàng cột điện quán gần . khi trả tiền mới ớ người ra là ông cắt bánh bát  cháu k dặn mà đứa cũng chẳng để_ý thiệt_hại bats bột lọc nộm cuốn . no căng mỗi_tội k đúng như dự_định ban_đầu bác đi ăn lần đầu nhớ chú_ý : ( ( ( - ấn_tượng đầu khá cay_đắng vẫn muốn quay lại ăn nộm 藍藍藍"
9,"quá trưa định đi thử , nhưng_mà đường xa mỏi gối , quái lại sà quán . gà tần ( không nhớ 55k hay 65k ) , thêm mì gói trần nước sôi . , nhưng tần rất ít vị thuốc , ngải_cứu cũng chỉ được tẹo , nước cũng chỉ được tí . có_lẽ gà đã chiếm hết diện_tích ống_bơ . gà đã tần sẵn ống_bơ , khách gọi mới trần lại âm_ấm . xong đổ ra bát đống trông rất mất cảm_tình . cá_nhân thấy vị dở vô_cùng dở ."
10,"bát bún siêu to khổng_lồ , món nem_lụi ngon ngon rất hài_lòng luôn ý"
11,"bình_thường ko hay ăn phở quốc_sư nhưng hôm qua khu văn phú , chả biết ăn , tiện thì vào . bát phở to , nhiều thịt . hình là phở tái gàu . nước trong , k bị mỡ quá . nói_chung ăn được . giá khá hạt_dẻ so vs bát to . dao_động . chỗ ngồi rộng_rãi , cũng sạch_sẽ , quán có_điều hoà nữa ."
12,vừa đặt xuất cơm vịt mất now nhưng cửa_hàng lại quên ko vịt vào
13,"có cô quen văn_phòng voucher giảm_giá nên ăn thử pizza hải_sản rất ngon , món sườn ướp đặc_biệt ngon vừa_miệng , lấy khoai_tây chiên chấm cùng nước sốt ngon nhức_nhối luôn văn_phòng gọi ship về nên thấy rất ngon nóng vp gần pizza bò không thích lắm không thích hơi không hợp vị , ngược_lại pizza hải_sản thì lại rất ngon theo đa_số người văn_phòng có tặng kèm coka , giao hàng_thần tốc sẽ còn ủng_hộ dài"
14,"quán dễ tìm lắm . lần đầu ăn bánh_đúc nóng , ngon , lạ , dễ ăn . gía bình_dân , bát"
15,đồ uống ngon không_gian đẹp 
16,"cũng giống như cơ_sở khác , bánh mỳ khá tươi , bánh gateux , bánh kem ăn ok , không bị ngấy . cảm_giác cũng khá sạch_sẽ nên yên_tâm . có caramen , sữa_chua nữa , ngon , ngầy_ngậy thơm thơm . nhân_viên lễ_phép , nhiệt_tình . điểm trừ là giá cao so chỗ khác mà chất_lượng bánh không có nổi_bật , chỉ được trang_trí đẹp ."
17,"ngon bổ rẻ , ấn_tượng tương_ớt chấm rất ngon , mỗi_tội hơi ít món , cần nâng thêm món nhậu nữa"
18,"bít tết ăn ngon , không_gian quán đơn_giản , ấm_cúng , nhân_viên nhiệt_tình , thân_thiện . sẽ còn quay lại ủng_hộ quán"
